name,dependency
BayesSpace,xgboost
BayesSpace,utils
BayesSpace,ggplot2
BayesSpace,scales
BayesSpace,BiocFileCache
BayesSpace,BiocSingular
BiSeq,R
BiSeq,methods
BiSeq,S4Vectors
BiSeq,IRanges
BiSeq,GenomicRanges
BiSeq,SummarizedExperiment
BiSeq,Formula
BiSeq,BiocGenerics
BiSeq,Biobase
BiSeq,GenomeInfoDb
BiSeq,rtracklayer
BiSeq,parallel
BiSeq,betareg
BiSeq,lokern
BiSeq,globaltest
BioNAR,R
BioNAR,igraph
BioNAR,poweRlaw
BioNAR,latex2exp
BioNAR,RSpectra
BioNAR,Rdpack
BioNAR,stringr
BioNAR,viridis
BioNAR,synaptome.db
BioNAR,clusterCons
BioNAR,fgsea
BioNAR,grid
BioNAR,methods
BioNAR,AnnotationDbi
BioNAR,dplyr
BioNAR,GO.db
BioNAR,org.Hs.eg.db
BioNAR,rSpectral
BioNAR,WGCNA
BioNAR,ggplot2
BioNAR,ggrepel
BioNAR,minpack.lm
BioNAR,cowplot
BioNAR,data.table
BioNAR,scales
BioNAR,stats
BiocBaseUtils,R
BiocBaseUtils,methods
BiocBaseUtils,utils
BiocPkgTools,htmlwidgets
BiocPkgTools,BiocFileCache
BiocPkgTools,BiocManager
BiocPkgTools,biocViews
BiocPkgTools,tibble
BiocPkgTools,magrittr
BiocPkgTools,methods
BiocPkgTools,rlang
BiocPkgTools,stringr
BiocPkgTools,rvest
BiocPkgTools,dplyr
BiocPkgTools,xml2
BiocPkgTools,readr
BiocPkgTools,httr
BiocPkgTools,htmltools
BiocPkgTools,DT
BiocPkgTools,tools
BiocPkgTools,utils
BiocPkgTools,igraph
BiocPkgTools,jsonlite
BiocPkgTools,gh
BiocPkgTools,RBGL
BiocPkgTools,graph
BiocPkgTools,rorcid
BrowserViz,R
BrowserViz,jsonlite
BrowserViz,httpuv
BrowserViz,methods
BrowserViz,BiocGenerics
CAGEfightR,R
CAGEfightR,GenomicRanges
CAGEfightR,rtracklayer
CAGEfightR,SummarizedExperiment
CAGEfightR,pryr
CAGEfightR,assertthat
CAGEfightR,methods
CAGEfightR,Matrix
CAGEfightR,BiocGenerics
CAGEfightR,S4Vectors
CAGEfightR,IRanges
CAGEfightR,GenomeInfoDb
CAGEfightR,GenomicFeatures
CAGEfightR,GenomicAlignments
CAGEfightR,BiocParallel
CAGEfightR,GenomicFiles
CAGEfightR,Gviz
CAGEfightR,InteractionSet
CAGEfightR,GenomicInteractions
CEMiTool,R
CEMiTool,methods
CEMiTool,scales
CEMiTool,dplyr
CEMiTool,data.table
CEMiTool,WGCNA
CEMiTool,grid
CEMiTool,ggplot2
CEMiTool,ggpmisc
CEMiTool,ggthemes
CEMiTool,ggrepel
CEMiTool,sna
CEMiTool,clusterProfiler
CEMiTool,fgsea
CEMiTool,stringr
CEMiTool,knitr
CEMiTool,rmarkdown
CEMiTool,igraph
CEMiTool,DT
CEMiTool,htmltools
CEMiTool,pracma
CEMiTool,intergraph
CEMiTool,grDevices
CEMiTool,utils
CEMiTool,network
CEMiTool,matrixStats
CEMiTool,ggdendro
CEMiTool,gridExtra
CEMiTool,gtable
CEMiTool,fastcluster
CGHregions,R
CGHregions,methods
CGHregions,Biobase
CGHregions,CGHbase
CNTools,R
CNTools,methods
CNTools,tools
CNTools,stats
CNTools,genefilter
COHCAP,WriteXLS
COHCAP,COHCAPanno
COHCAP,RColorBrewer
COHCAP,gplots
COHCAP,Rcpp
COHCAP,RcppArmadillo
COHCAP,BH
CONFESS,R
CONFESS,grDevices
CONFESS,utils
CONFESS,stats
CONFESS,graphics
CONFESS,methods
CONFESS,changepoint
CONFESS,cluster
CONFESS,contrast
CONFESS,data.table
CONFESS,ecp
CONFESS,EBImage
CONFESS,flexmix
CONFESS,flowCore
CONFESS,flowClust
CONFESS,flowMeans
CONFESS,flowMerge
CONFESS,flowPeaks
CONFESS,foreach
CONFESS,ggplot2
CONFESS,grid
CONFESS,limma
CONFESS,MASS
CONFESS,moments
CONFESS,outliers
CONFESS,parallel
CONFESS,plotrix
CONFESS,raster
CONFESS,readbitmap
CONFESS,reshape2
CONFESS,SamSPECTRAL
CONFESS,waveslim
CONFESS,wavethresh
CONFESS,zoo
CTDquerier,R
CTDquerier,RCurl
CTDquerier,stringr
CTDquerier,S4Vectors
CTDquerier,stringdist
CTDquerier,ggplot2
CTDquerier,igraph
CTDquerier,utils
CTDquerier,grid
CTDquerier,gridExtra
CTDquerier,methods
CTDquerier,stats
CTDquerier,BiocFileCache
Category,methods
Category,stats4
Category,BiocGenerics
Category,AnnotationDbi
Category,Biobase
Category,Matrix
Category,utils
Category,stats
Category,graph
Category,RBGL
Category,GSEABase
Category,genefilter
Category,annotate
Category,DBI
Cepo,GSEABase
Cepo,R
Cepo,DelayedMatrixStats
Cepo,DelayedArray
Cepo,HDF5Array
Cepo,S4Vectors
Cepo,methods
Cepo,SingleCellExperiment
Cepo,SummarizedExperiment
Cepo,ggplot2
Cepo,rlang
Cepo,grDevices
Cepo,patchwork
Cepo,reshape2
Cepo,BiocParallel
Cepo,stats
Cepo,dplyr
ChIPexoQual,R
ChIPexoQual,GenomicAlignments
ChIPexoQual,methods
ChIPexoQual,utils
ChIPexoQual,GenomeInfoDb
ChIPexoQual,stats
ChIPexoQual,BiocParallel
ChIPexoQual,GenomicRanges
ChIPexoQual,ggplot2
ChIPexoQual,data.table
ChIPexoQual,Rsamtools
ChIPexoQual,IRanges
ChIPexoQual,S4Vectors
ChIPexoQual,biovizBase
ChIPexoQual,broom
ChIPexoQual,RColorBrewer
ChIPexoQual,dplyr
ChIPexoQual,scales
ChIPexoQual,viridis
ChIPexoQual,hexbin
ChIPexoQual,rmarkdown
ChemmineR,R
ChemmineR,methods
ChemmineR,rjson
ChemmineR,graphics
ChemmineR,stats
ChemmineR,RCurl
ChemmineR,DBI
ChemmineR,digest
ChemmineR,BiocGenerics
ChemmineR,Rcpp
ChemmineR,ggplot2
ChemmineR,grid
ChemmineR,gridExtra
ChemmineR,png
ChemmineR,base64enc
ChemmineR,DT
ChemmineR,rsvg
ChemmineR,jsonlite
ChemmineR,stringi
CluMSID,R
CluMSID,mzR
CluMSID,S4Vectors
CluMSID,dbscan
CluMSID,RColorBrewer
CluMSID,ape
CluMSID,network
CluMSID,GGally
CluMSID,ggplot2
CluMSID,plotly
CluMSID,methods
CluMSID,utils
CluMSID,stats
CluMSID,sna
CluMSID,grDevices
CluMSID,graphics
CluMSID,Biobase
CluMSID,gplots
CluMSID,MSnbase
Cogito,R
Cogito,GenomicRanges
Cogito,jsonlite
Cogito,GenomicFeatures
Cogito,entropy
Cogito,BiocManager
Cogito,rmarkdown
Cogito,GenomeInfoDb
Cogito,S4Vectors
Cogito,AnnotationDbi
Cogito,graphics
Cogito,stats
Cogito,utils
Cogito,methods
Cogito,magrittr
Cogito,ggplot2
Cogito,TxDb.Mmusculus.UCSC.mm9.knownGene
CrispRVariants,R
CrispRVariants,ggplot2
CrispRVariants,AnnotationDbi
CrispRVariants,BiocParallel
CrispRVariants,Biostrings
CrispRVariants,methods
CrispRVariants,GenomeInfoDb
CrispRVariants,GenomicAlignments
CrispRVariants,GenomicRanges
CrispRVariants,grDevices
CrispRVariants,grid
CrispRVariants,gridExtra
CrispRVariants,IRanges
CrispRVariants,reshape2
CrispRVariants,Rsamtools
CrispRVariants,S4Vectors
CrispRVariants,utils
DAPAR,R
DAPAR,Biobase
DAPAR,MSnbase
DAPAR,DAPARdata
DAPAR,utils
DAPAR,highcharter
DAPAR,foreach
DEP,R
DEP,ggplot2
DEP,dplyr
DEP,purrr
DEP,readr
DEP,tibble
DEP,tidyr
DEP,SummarizedExperiment
DEP,MSnbase
DEP,limma
DEP,vsn
DEP,fdrtool
DEP,ggrepel
DEP,ComplexHeatmap
DEP,RColorBrewer
DEP,circlize
DEP,shiny
DEP,shinydashboard
DEP,DT
DEP,rmarkdown
DEP,assertthat
DEP,gridExtra
DEP,grid
DEP,stats
DEP,imputeLCMD
DEP,cluster
DEsubs,R
DEsubs,locfit
DEsubs,graph
DEsubs,igraph
DEsubs,RBGL
DEsubs,circlize
DEsubs,limma
DEsubs,edgeR
DEsubs,EBSeq
DEsubs,NBPSeq
DEsubs,stats
DEsubs,grDevices
DEsubs,graphics
DEsubs,pheatmap
DEsubs,utils
DEsubs,ggplot2
DEsubs,Matrix
DEsubs,jsonlite
DEsubs,tools
DEsubs,DESeq2
DEsubs,methods
DNABarcodes,Matrix
DNABarcodes,parallel
DNABarcodes,Rcpp
DNABarcodes,BH
DeMixT,R
DeMixT,parallel
DeMixT,Rcpp
DeMixT,SummarizedExperiment
DeMixT,knitr
DeMixT,KernSmooth
DeMixT,matrixcalc
DeMixT,rmarkdown
DeMixT,DSS
DeMixT,dendextend
DeMixT,psych
DeMixT,sva
DeMixT,matrixStats
DeMixT,stats
DeMixT,truncdist
DeMixT,base64enc
DeMixT,ggplot2
DegNorm,R
DegNorm,methods
DegNorm,Rcpp
DegNorm,GenomicFeatures
DegNorm,parallel
DegNorm,foreach
DegNorm,S4Vectors
DegNorm,doParallel
DegNorm,Rsamtools
DegNorm,GenomicAlignments
DegNorm,heatmaply
DegNorm,data.table
DegNorm,stats
DegNorm,ggplot2
DegNorm,GenomicRanges
DegNorm,IRanges
DegNorm,plyr
DegNorm,plotly
DegNorm,utils
DegNorm,viridis
DiffBind,R
DiffBind,GenomicRanges
DiffBind,SummarizedExperiment
DiffBind,RColorBrewer
DiffBind,amap
DiffBind,gplots
DiffBind,grDevices
DiffBind,limma
DiffBind,GenomicAlignments
DiffBind,locfit
DiffBind,stats
DiffBind,utils
DiffBind,IRanges
DiffBind,lattice
DiffBind,systemPipeR
DiffBind,tools
DiffBind,Rcpp
DiffBind,dplyr
DiffBind,ggplot2
DiffBind,BiocParallel
DiffBind,parallel
DiffBind,S4Vectors
DiffBind,Rsamtools
DiffBind,DESeq2
DiffBind,methods
DiffBind,graphics
DiffBind,ggrepel
DiffBind,apeglm
DiffBind,ashr
DiffBind,GreyListChIP
DrugVsDisease,R
DrugVsDisease,affy
DrugVsDisease,limma
DrugVsDisease,biomaRt
DrugVsDisease,ArrayExpress
DrugVsDisease,GEOquery
DrugVsDisease,DrugVsDiseasedata
DrugVsDisease,cMap2data
DrugVsDisease,qvalue
DrugVsDisease,annotate
DrugVsDisease,hgu133a.db
DrugVsDisease,hgu133a2.db
DrugVsDisease,hgu133plus2.db
DrugVsDisease,RUnit
DrugVsDisease,BiocGenerics
DrugVsDisease,xtable
EBarrays,R
EBarrays,Biobase
EBarrays,lattice
EBarrays,methods
EBarrays,cluster
EBarrays,graphics
EBarrays,grDevices
EBarrays,stats
ENmix,R
ENmix,parallel
ENmix,doParallel
ENmix,foreach
ENmix,SummarizedExperiment
ENmix,stats
ENmix,grDevices
ENmix,graphics
ENmix,preprocessCore
ENmix,matrixStats
ENmix,methods
ENmix,utils
ENmix,geneplotter
ENmix,impute
ENmix,minfi
ENmix,RPMM
ENmix,illuminaio
ENmix,dynamicTreeCut
ENmix,IRanges
ENmix,gtools
ENmix,Biobase
ENmix,ExperimentHub
ENmix,AnnotationHub
ENmix,genefilter
ENmix,gplots
ENmix,quadprog
ENmix,S4Vectors
EpiDISH,R
EpiDISH,MASS
EpiDISH,e1071
EpiDISH,quadprog
EpiDISH,parallel
EpiDISH,stats
EpiDISH,matrixStats
EpiDISH,stringr
EpiDISH,locfdr
EpiDISH,Matrix
FCBF,R
FCBF,ggplot2
FCBF,gridExtra
FCBF,pbapply
FCBF,parallel
FCBF,SummarizedExperiment
FCBF,stats
FCBF,mclust
FRGEpistasis,R
FRGEpistasis,MASS
FRGEpistasis,fda
FRGEpistasis,methods
FRGEpistasis,stats
FRGEpistasis,utils
FilterFFPE,foreach
FilterFFPE,doParallel
FilterFFPE,GenomicRanges
FilterFFPE,IRanges
FilterFFPE,Rsamtools
FilterFFPE,parallel
FilterFFPE,S4Vectors
GBScleanR,SeqArray
GBScleanR,stats
GBScleanR,utils
GBScleanR,methods
GBScleanR,ggplot2
GBScleanR,tidyr
GBScleanR,expm
GBScleanR,Rcpp
GBScleanR,RcppParallel
GBScleanR,gdsfmt
GENIE3,stats
GENIE3,reshape2
GENIE3,dplyr
GGPA,R
GGPA,stats
GGPA,methods
GGPA,graphics
GGPA,GGally
GGPA,network
GGPA,sna
GGPA,scales
GGPA,matrixStats
GGPA,Rcpp
GOexpress,R
GOexpress,grid
GOexpress,stats
GOexpress,graphics
GOexpress,Biobase
GOexpress,biomaRt
GOexpress,stringr
GOexpress,ggplot2
GOexpress,RColorBrewer
GOexpress,gplots
GOexpress,randomForest
GOexpress,RCurl
GOsummaries,R
GOsummaries,Rcpp
GOsummaries,plyr
GOsummaries,grid
GOsummaries,gProfileR
GOsummaries,reshape2
GOsummaries,limma
GOsummaries,ggplot2
GOsummaries,gtable
GSCA,shiny
GSCA,sp
GSCA,gplots
GSCA,ggplot2
GSCA,reshape2
GSCA,RColorBrewer
GSCA,rhdf5
GSCA,R
GSCA,graphics
GWAS.BAYES,R
GWAS.BAYES,GA
GWAS.BAYES,caret
GWAS.BAYES,memoise
GWAS.BAYES,Matrix
GWAS.BAYES,limma
GWAS.BAYES,stats
GWAS.BAYES,MASS
GeneExpressionSignature,R
GeneExpressionSignature,Biobase
GeneExpressionSignature,stats
GeneExpressionSignature,methods
GenomeInfoDb,R
GenomeInfoDb,methods
GenomeInfoDb,BiocGenerics
GenomeInfoDb,S4Vectors
GenomeInfoDb,IRanges
GenomeInfoDb,stats
GenomeInfoDb,stats4
GenomeInfoDb,utils
GenomeInfoDb,RCurl
GenomeInfoDb,GenomeInfoDbData
GenomicFiles,R
GenomicFiles,methods
GenomicFiles,BiocGenerics
GenomicFiles,MatrixGenerics
GenomicFiles,GenomicRanges
GenomicFiles,SummarizedExperiment
GenomicFiles,BiocParallel
GenomicFiles,Rsamtools
GenomicFiles,rtracklayer
GenomicFiles,GenomicAlignments
GenomicFiles,IRanges
GenomicFiles,S4Vectors
GenomicFiles,VariantAnnotation
GenomicFiles,GenomeInfoDb
GeoTcgaData,R
GeoTcgaData,utils
GeoTcgaData,data.table
GeoTcgaData,plyr
GeoTcgaData,cqn
GeoTcgaData,topconfects
GeoTcgaData,stats
GeoTcgaData,SummarizedExperiment
GeoTcgaData,methods
HEM,R
HEM,Biobase
HEM,grDevices
HEM,stats
HEM,utils
HPiP,R
HPiP,dplyr
HPiP,httr
HPiP,readr
HPiP,tidyr
HPiP,tibble
HPiP,utils
HPiP,stringr
HPiP,magrittr
HPiP,caret
HPiP,corrplot
HPiP,ggplot2
HPiP,pROC
HPiP,PRROC
HPiP,igraph
HPiP,graphics
HPiP,stats
HPiP,purrr
HPiP,grDevices
HPiP,protr
HPiP,MCL
Herper,R
Herper,reticulate
Herper,utils
Herper,rjson
Herper,withr
Herper,stats
HiLDA,R
HiLDA,ggplot2
HiLDA,R2jags
HiLDA,abind
HiLDA,cowplot
HiLDA,grid
HiLDA,forcats
HiLDA,stringr
HiLDA,GenomicRanges
HiLDA,S4Vectors
HiLDA,XVector
HiLDA,Biostrings
HiLDA,GenomicFeatures
HiLDA,BSgenome.Hsapiens.UCSC.hg19
HiLDA,BiocGenerics
HiLDA,tidyr
HiLDA,grDevices
HiLDA,stats
HiLDA,TxDb.Hsapiens.UCSC.hg19.knownGene
HiLDA,utils
HiLDA,methods
HiLDA,Rcpp
HybridMTest,R
HybridMTest,Biobase
HybridMTest,fdrtool
HybridMTest,MASS
HybridMTest,survival
HybridMTest,stats
IMPCdata,R
IMPCdata,rjson
IONiseR,R
IONiseR,rhdf5
IONiseR,dplyr
IONiseR,magrittr
IONiseR,tidyr
IONiseR,ShortRead
IONiseR,Biostrings
IONiseR,ggplot2
IONiseR,methods
IONiseR,BiocGenerics
IONiseR,XVector
IONiseR,tibble
IONiseR,stats
IONiseR,BiocParallel
IONiseR,bit64
IONiseR,stringr
IONiseR,utils
IWTomics,R
IWTomics,GenomicRanges
IWTomics,parallel
IWTomics,gtable
IWTomics,grid
IWTomics,graphics
IWTomics,methods
IWTomics,IRanges
IWTomics,KernSmooth
IWTomics,fda
IWTomics,S4Vectors
IWTomics,grDevices
IWTomics,stats
IWTomics,utils
IWTomics,tools
IntEREst,R
IntEREst,GenomicRanges
IntEREst,Rsamtools
IntEREst,SummarizedExperiment
IntEREst,edgeR
IntEREst,S4Vectors
IntEREst,GenomicFiles
IntEREst,seqLogo
IntEREst,Biostrings
IntEREst,GenomicFeatures
IntEREst,IRanges
IntEREst,seqinr
IntEREst,graphics
IntEREst,grDevices
IntEREst,stats
IntEREst,utils
IntEREst,grid
IntEREst,methods
IntEREst,DBI
IntEREst,RMySQL
IntEREst,GenomicAlignments
IntEREst,BiocParallel
IntEREst,BiocGenerics
IntEREst,DEXSeq
IntEREst,DESeq2
IsoCorrectoRGUI,R
IsoCorrectoRGUI,IsoCorrectoR
IsoCorrectoRGUI,readxl
IsoCorrectoRGUI,tcltk2
IsoCorrectoRGUI,tcltk
IsoCorrectoRGUI,utils
KinSwingR,R
KinSwingR,data.table
KinSwingR,BiocParallel
KinSwingR,sqldf
KinSwingR,stats
KinSwingR,grid
KinSwingR,grDevices
LPEadj,LPE
LPEadj,stats
LiquidAssociation,geepack
LiquidAssociation,methods
LiquidAssociation,yeastCC
LiquidAssociation,org.Sc.sgd.db
LiquidAssociation,Biobase
LiquidAssociation,graphics
LiquidAssociation,grDevices
LiquidAssociation,stats
MADSEQ,R
MADSEQ,rjags
MADSEQ,VGAM
MADSEQ,coda
MADSEQ,BSgenome
MADSEQ,BSgenome.Hsapiens.UCSC.hg19
MADSEQ,S4Vectors
MADSEQ,methods
MADSEQ,preprocessCore
MADSEQ,GenomicAlignments
MADSEQ,Rsamtools
MADSEQ,Biostrings
MADSEQ,GenomicRanges
MADSEQ,IRanges
MADSEQ,VariantAnnotation
MADSEQ,SummarizedExperiment
MADSEQ,GenomeInfoDb
MADSEQ,rtracklayer
MADSEQ,graphics
MADSEQ,stats
MADSEQ,grDevices
MADSEQ,utils
MADSEQ,zlibbioc
MADSEQ,vcfR
MBAmethyl,R
MEB,R
MEB,e1071
MEB,edgeR
MEB,scater
MEB,stats
MEB,wrswoR
MEB,SummarizedExperiment
MEB,SingleCellExperiment
MIRA,R
MIRA,BiocGenerics
MIRA,S4Vectors
MIRA,IRanges
MIRA,GenomicRanges
MIRA,data.table
MIRA,ggplot2
MIRA,Biobase
MIRA,stats
MIRA,bsseq
MIRA,methods
MODA,R
MODA,grDevices
MODA,graphics
MODA,stats
MODA,utils
MODA,WGCNA
MODA,dynamicTreeCut
MODA,igraph
MODA,cluster
MODA,AMOUNTAIN
MODA,RColorBrewer
MPRAnalyze,BiocParallel
MPRAnalyze,methods
MPRAnalyze,progress
MPRAnalyze,stats
MPRAnalyze,SummarizedExperiment
MSstatsPTM,R
MSstatsPTM,dplyr
MSstatsPTM,gridExtra
MSstatsPTM,stringr
MSstatsPTM,stats
MSstatsPTM,ggplot2
MSstatsPTM,stringi
MSstatsPTM,grDevices
MSstatsPTM,MSstatsTMT
MSstatsPTM,MSstatsConvert
MSstatsPTM,MSstats
MSstatsPTM,data.table
MSstatsPTM,Rcpp
MSstatsPTM,Biostrings
MSstatsPTM,checkmate
MSstatsPTM,ggrepel
Maaslin2,R
Maaslin2,robustbase
Maaslin2,biglm
Maaslin2,pcaPP
Maaslin2,edgeR
Maaslin2,metagenomeSeq
Maaslin2,lpsymphony
Maaslin2,pbapply
Maaslin2,car
Maaslin2,dplyr
Maaslin2,vegan
Maaslin2,chemometrics
Maaslin2,ggplot2
Maaslin2,pheatmap
Maaslin2,logging
Maaslin2,data.table
Maaslin2,lmerTest
Maaslin2,hash
Maaslin2,optparse
Maaslin2,grDevices
Maaslin2,stats
Maaslin2,utils
Maaslin2,glmmTMB
Maaslin2,MASS
Maaslin2,cplm
Maaslin2,pscl
Maaslin2,lme4
MatrixRider,R
MatrixRider,methods
MatrixRider,TFBSTools
MatrixRider,IRanges
MatrixRider,XVector
MatrixRider,Biostrings
MetaNeighbor,R
MetaNeighbor,grDevices
MetaNeighbor,graphics
MetaNeighbor,methods
MetaNeighbor,stats
MetaNeighbor,utils
MetaNeighbor,Matrix
MetaNeighbor,matrixStats
MetaNeighbor,beanplot
MetaNeighbor,gplots
MetaNeighbor,RColorBrewer
MetaNeighbor,SummarizedExperiment
MetaNeighbor,SingleCellExperiment
MetaNeighbor,igraph
MetaNeighbor,dplyr
MetaNeighbor,tidyr
MetaNeighbor,tibble
MetaNeighbor,ggplot2
MethPed,R
MethPed,Biobase
MethPed,randomForest
MethPed,grDevices
MethPed,graphics
MethPed,stats
Mfuzz,R
Mfuzz,Biobase
Mfuzz,e1071
Mfuzz,tcltk
Mfuzz,tkWidgets
MoleculeExperiment,SpatialExperiment
MoleculeExperiment,Matrix
MoleculeExperiment,purrr
MoleculeExperiment,sp
MoleculeExperiment,data.table
MoleculeExperiment,dplyr
MoleculeExperiment,magrittr
MoleculeExperiment,rjson
MoleculeExperiment,utils
MoleculeExperiment,methods
MoleculeExperiment,terra
MoleculeExperiment,ggplot2
MoleculeExperiment,rlang
MsBackendSql,R
MsBackendSql,Spectra
MsBackendSql,BiocParallel
MsBackendSql,S4Vectors
MsBackendSql,methods
MsBackendSql,ProtGenerics
MsBackendSql,DBI
MsBackendSql,MsCoreUtils
MsBackendSql,IRanges
MsBackendSql,data.table
MsBackendSql,progress
MsQuality,R
MsQuality,ggplot2
MsQuality,htmlwidgets
MsQuality,methods
MsQuality,MsExperiment
MsQuality,plotly
MsQuality,ProtGenerics
MsQuality,shiny
MsQuality,shinydashboard
MsQuality,Spectra
MsQuality,stats
MsQuality,stringr
MsQuality,tibble
MsQuality,tidyr
MsQuality,BiocParallel
MungeSumstats,R
MungeSumstats,magrittr
MungeSumstats,data.table
MungeSumstats,utils
MungeSumstats,R.utils
MungeSumstats,dplyr
MungeSumstats,stats
MungeSumstats,GenomicRanges
MungeSumstats,IRanges
MungeSumstats,GenomeInfoDb
MungeSumstats,BSgenome
MungeSumstats,Biostrings
MungeSumstats,stringr
MungeSumstats,VariantAnnotation
MungeSumstats,googleAuthR
MungeSumstats,httr
MungeSumstats,jsonlite
MungeSumstats,methods
MungeSumstats,parallel
MungeSumstats,rtracklayer
MungeSumstats,RCurl
NanoMethViz,R
NanoMethViz,methods
NanoMethViz,ggplot2
NanoMethViz,cpp11
NanoMethViz,readr
NanoMethViz,S4Vectors
NanoMethViz,SummarizedExperiment
NanoMethViz,BiocSingular
NanoMethViz,bsseq
NanoMethViz,forcats
NanoMethViz,assertthat
NanoMethViz,AnnotationDbi
NanoMethViz,Rcpp
NanoMethViz,dplyr
NanoMethViz,data.table
NanoMethViz,e1071
NanoMethViz,fs
NanoMethViz,GenomicRanges
NanoMethViz,ggrastr
NanoMethViz,glue
NanoMethViz,graphics
NanoMethViz,limma
NanoMethViz,patchwork
NanoMethViz,purrr
NanoMethViz,rlang
NanoMethViz,R.utils
NanoMethViz,RSQLite
NanoMethViz,Rsamtools
NanoMethViz,scales
NanoMethViz,scico
NanoMethViz,stats
NanoMethViz,stringr
NanoMethViz,tibble
NanoMethViz,tidyr
NanoMethViz,utils
NanoMethViz,withr
NanoMethViz,zlibbioc
NoRCE,R
NoRCE,KEGGREST
NoRCE,png
NoRCE,dplyr
NoRCE,graphics
NoRCE,RSQLite
NoRCE,DBI
NoRCE,tidyr
NoRCE,grDevices
NoRCE,stringr
NoRCE,GenomeInfoDb
NoRCE,S4Vectors
NoRCE,SummarizedExperiment
NoRCE,reactome.db
NoRCE,rWikiPathways
NoRCE,RCurl
NoRCE,dbplyr
NoRCE,utils
NoRCE,ggplot2
NoRCE,igraph
NoRCE,stats
NoRCE,reshape2
NoRCE,readr
NoRCE,GO.db
NoRCE,zlibbioc
NoRCE,biomaRt
NoRCE,rtracklayer
NoRCE,IRanges
NoRCE,GenomicRanges
NoRCE,GenomicFeatures
NoRCE,AnnotationDbi
NuPoP,R
NuPoP,graphics
NuPoP,utils
OPWeight,R
OPWeight,graphics
OPWeight,qvalue
OPWeight,MASS
OPWeight,tibble
OPWeight,stats
Omixer,R
Omixer,dplyr
Omixer,ggplot2
Omixer,forcats
Omixer,tibble
Omixer,gridExtra
Omixer,magrittr
Omixer,readr
Omixer,tidyselect
Omixer,grid
Omixer,stats
Omixer,stringr
OrderedList,R
OrderedList,Biobase
OrderedList,twilight
OrderedList,methods
PFP,R
PFP,graph
PFP,igraph
PFP,KEGGgraph
PFP,clusterProfiler
PFP,ggplot2
PFP,plyr
PFP,tidyr
PFP,magrittr
PFP,stats
PFP,methods
PFP,utils
PROMISE,R
PROMISE,Biobase
PROMISE,GSEABase
PROMISE,stats
PanViz,R
PanViz,tidyr
PanViz,stringr
PanViz,dplyr
PanViz,tibble
PanViz,magrittr
PanViz,futile.logger
PanViz,utils
PanViz,easycsv
PanViz,rentrez
PanViz,igraph
PanViz,RColorBrewer
PanViz,data.table
PanViz,colorspace
PanViz,grDevices
PanViz,rlang
PanViz,methods
PharmacoGx,R
PharmacoGx,CoreGx
PharmacoGx,BiocGenerics
PharmacoGx,Biobase
PharmacoGx,S4Vectors
