ID,Platform,Project Name,Project ID,Version Number,Version ID,Dependency Name,Dependency Platform,Dependency Kind,Optional Dependency,Dependency Requirements,Dependency Project ID
,Bioconductor,BiocParallel,,1.32.5,,utils,Bioconductor,imports,,,
,Bioconductor,BiocParallel,,1.32.5,,futile.logger,Bioconductor,imports,,,
,Bioconductor,BiocParallel,,1.32.5,,parallel,Bioconductor,imports,,,
,Bioconductor,BiocParallel,,1.32.5,,snow,Bioconductor,imports,,,
,Bioconductor,BiocParallel,,1.32.5,,codetools,Bioconductor,imports,,,
,Bioconductor,GenomicRanges,,1.50.2,,R,Bioconductor,depends,,,
,Bioconductor,GenomicRanges,,1.50.2,,methods,Bioconductor,depends,,,
,Bioconductor,GenomicRanges,,1.50.2,,stats4,Bioconductor,depends,,,
,Bioconductor,GenomicRanges,,1.50.2,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,GenomicRanges,,1.50.2,,S4Vectors,Bioconductor,depends,,,
,Bioconductor,GenomicRanges,,1.50.2,,IRanges,Bioconductor,depends,,,
,Bioconductor,GenomicRanges,,1.50.2,,GenomeInfoDb,Bioconductor,depends,,,
,Bioconductor,GenomicRanges,,1.50.2,,utils,Bioconductor,imports,,,
,Bioconductor,GenomicRanges,,1.50.2,,stats,Bioconductor,imports,,,
,Bioconductor,GenomicRanges,,1.50.2,,XVector,Bioconductor,imports,,,
,Bioconductor,DelayedArray,,0.24.0,,R,Bioconductor,depends,,,
,Bioconductor,DelayedArray,,0.24.0,,methods,Bioconductor,depends,,,
,Bioconductor,DelayedArray,,0.24.0,,stats4,Bioconductor,depends,,,
,Bioconductor,DelayedArray,,0.24.0,,Matrix,Bioconductor,depends,,,
,Bioconductor,DelayedArray,,0.24.0,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,DelayedArray,,0.24.0,,MatrixGenerics,Bioconductor,depends,,,
,Bioconductor,DelayedArray,,0.24.0,,S4Vectors,Bioconductor,depends,,,
,Bioconductor,DelayedArray,,0.24.0,,IRanges,Bioconductor,depends,,,
,Bioconductor,DelayedArray,,0.24.0,,stats,Bioconductor,imports,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,R,Bioconductor,depends,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,methods,Bioconductor,depends,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,MatrixGenerics,Bioconductor,depends,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,GenomicRanges,Bioconductor,depends,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,Biobase,Bioconductor,depends,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,utils,Bioconductor,imports,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,stats,Bioconductor,imports,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,tools,Bioconductor,imports,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,Matrix,Bioconductor,imports,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,BiocGenerics,Bioconductor,imports,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,S4Vectors,Bioconductor,imports,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,IRanges,Bioconductor,imports,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,GenomeInfoDb,Bioconductor,imports,,,
,Bioconductor,SummarizedExperiment,,1.28.0,,DelayedArray,Bioconductor,imports,,,
,Bioconductor,MatrixGenerics,,1.10.0,,matrixStats,Bioconductor,depends,,,
,Bioconductor,MatrixGenerics,,1.10.0,,methods,Bioconductor,imports,,,
,Bioconductor,limma,,3.54.1,,R,Bioconductor,depends,,,
,Bioconductor,limma,,3.54.1,,grDevices,Bioconductor,imports,,,
,Bioconductor,limma,,3.54.1,,graphics,Bioconductor,imports,,,
,Bioconductor,limma,,3.54.1,,stats,Bioconductor,imports,,,
,Bioconductor,limma,,3.54.1,,utils,Bioconductor,imports,,,
,Bioconductor,limma,,3.54.1,,methods,Bioconductor,imports,,,
,Bioconductor,AnnotationDbi,,1.60.0,,R,Bioconductor,depends,,,
,Bioconductor,AnnotationDbi,,1.60.0,,methods,Bioconductor,depends,,,
,Bioconductor,AnnotationDbi,,1.60.0,,utils,Bioconductor,depends,,,
,Bioconductor,AnnotationDbi,,1.60.0,,stats4,Bioconductor,depends,,,
,Bioconductor,AnnotationDbi,,1.60.0,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,AnnotationDbi,,1.60.0,,Biobase,Bioconductor,depends,,,
,Bioconductor,AnnotationDbi,,1.60.0,,IRanges,Bioconductor,depends,,,
,Bioconductor,AnnotationDbi,,1.60.0,,DBI,Bioconductor,imports,,,
,Bioconductor,AnnotationDbi,,1.60.0,,RSQLite,Bioconductor,imports,,,
,Bioconductor,AnnotationDbi,,1.60.0,,S4Vectors,Bioconductor,imports,,,
,Bioconductor,AnnotationDbi,,1.60.0,,stats,Bioconductor,imports,,,
,Bioconductor,AnnotationDbi,,1.60.0,,KEGGREST,Bioconductor,imports,,,
,Bioconductor,KEGGREST,,1.38.0,,R,Bioconductor,depends,,,
,Bioconductor,KEGGREST,,1.38.0,,methods,Bioconductor,imports,,,
,Bioconductor,KEGGREST,,1.38.0,,httr,Bioconductor,imports,,,
,Bioconductor,KEGGREST,,1.38.0,,png,Bioconductor,imports,,,
,Bioconductor,KEGGREST,,1.38.0,,Biostrings,Bioconductor,imports,,,
,Bioconductor,annotate,,1.76.0,,R,Bioconductor,depends,,,
,Bioconductor,annotate,,1.76.0,,AnnotationDbi,Bioconductor,depends,,,
,Bioconductor,annotate,,1.76.0,,XML,Bioconductor,depends,,,
,Bioconductor,annotate,,1.76.0,,Biobase,Bioconductor,imports,,,
,Bioconductor,annotate,,1.76.0,,DBI,Bioconductor,imports,,,
,Bioconductor,annotate,,1.76.0,,xtable,Bioconductor,imports,,,
,Bioconductor,annotate,,1.76.0,,graphics,Bioconductor,imports,,,
,Bioconductor,annotate,,1.76.0,,utils,Bioconductor,imports,,,
,Bioconductor,annotate,,1.76.0,,stats,Bioconductor,imports,,,
,Bioconductor,annotate,,1.76.0,,methods,Bioconductor,imports,,,
,Bioconductor,annotate,,1.76.0,,BiocGenerics,Bioconductor,imports,,,
,Bioconductor,annotate,,1.76.0,,httr,Bioconductor,imports,,,
,Bioconductor,BiocFileCache,,2.6.1,,R,Bioconductor,depends,,,
,Bioconductor,BiocFileCache,,2.6.1,,dbplyr,Bioconductor,depends,,,
,Bioconductor,BiocFileCache,,2.6.1,,methods,Bioconductor,imports,,,
,Bioconductor,BiocFileCache,,2.6.1,,stats,Bioconductor,imports,,,
,Bioconductor,BiocFileCache,,2.6.1,,utils,Bioconductor,imports,,,
,Bioconductor,BiocFileCache,,2.6.1,,dplyr,Bioconductor,imports,,,
,Bioconductor,BiocFileCache,,2.6.1,,RSQLite,Bioconductor,imports,,,
,Bioconductor,BiocFileCache,,2.6.1,,DBI,Bioconductor,imports,,,
,Bioconductor,BiocFileCache,,2.6.1,,rappdirs,Bioconductor,imports,,,
,Bioconductor,BiocFileCache,,2.6.1,,filelock,Bioconductor,imports,,,
,Bioconductor,BiocFileCache,,2.6.1,,curl,Bioconductor,imports,,,
,Bioconductor,BiocFileCache,,2.6.1,,httr,Bioconductor,imports,,,
,Bioconductor,Rhtslib,,2.0.0,,zlibbioc,Bioconductor,imports,,,
,Bioconductor,Rsamtools,,2.14.0,,methods,Bioconductor,depends,,,
,Bioconductor,Rsamtools,,2.14.0,,GenomeInfoDb,Bioconductor,depends,,,
,Bioconductor,Rsamtools,,2.14.0,,GenomicRanges,Bioconductor,depends,,,
,Bioconductor,Rsamtools,,2.14.0,,Biostrings,Bioconductor,depends,,,
,Bioconductor,Rsamtools,,2.14.0,,R,Bioconductor,depends,,,
,Bioconductor,Rsamtools,,2.14.0,,utils,Bioconductor,imports,,,
,Bioconductor,Rsamtools,,2.14.0,,BiocGenerics,Bioconductor,imports,,,
,Bioconductor,Rsamtools,,2.14.0,,S4Vectors,Bioconductor,imports,,,
,Bioconductor,Rsamtools,,2.14.0,,IRanges,Bioconductor,imports,,,
,Bioconductor,Rsamtools,,2.14.0,,XVector,Bioconductor,imports,,,
,Bioconductor,Rsamtools,,2.14.0,,zlibbioc,Bioconductor,imports,,,
,Bioconductor,Rsamtools,,2.14.0,,bitops,Bioconductor,imports,,,
,Bioconductor,Rsamtools,,2.14.0,,BiocParallel,Bioconductor,imports,,,
,Bioconductor,Rsamtools,,2.14.0,,stats,Bioconductor,imports,,,
,Bioconductor,genefilter,,1.80.3,,BiocGenerics,Bioconductor,imports,,,
,Bioconductor,genefilter,,1.80.3,,AnnotationDbi,Bioconductor,imports,,,
,Bioconductor,genefilter,,1.80.3,,annotate,Bioconductor,imports,,,
,Bioconductor,genefilter,,1.80.3,,Biobase,Bioconductor,imports,,,
,Bioconductor,genefilter,,1.80.3,,graphics,Bioconductor,imports,,,
,Bioconductor,genefilter,,1.80.3,,methods,Bioconductor,imports,,,
,Bioconductor,genefilter,,1.80.3,,stats,Bioconductor,imports,,,
,Bioconductor,genefilter,,1.80.3,,survival,Bioconductor,imports,,,
,Bioconductor,genefilter,,1.80.3,,grDevices,Bioconductor,imports,,,
,Bioconductor,edgeR,,3.40.2,,R,Bioconductor,depends,,,
,Bioconductor,edgeR,,3.40.2,,limma,Bioconductor,depends,,,
,Bioconductor,edgeR,,3.40.2,,methods,Bioconductor,imports,,,
,Bioconductor,edgeR,,3.40.2,,graphics,Bioconductor,imports,,,
,Bioconductor,edgeR,,3.40.2,,stats,Bioconductor,imports,,,
,Bioconductor,edgeR,,3.40.2,,utils,Bioconductor,imports,,,
,Bioconductor,edgeR,,3.40.2,,locfit,Bioconductor,imports,,,
,Bioconductor,edgeR,,3.40.2,,Rcpp,Bioconductor,imports,,,
,Bioconductor,GenomicAlignments,,1.34.0,,R,Bioconductor,depends,,,
,Bioconductor,GenomicAlignments,,1.34.0,,methods,Bioconductor,depends,,,
,Bioconductor,GenomicAlignments,,1.34.0,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,GenomicAlignments,,1.34.0,,S4Vectors,Bioconductor,depends,,,
,Bioconductor,GenomicAlignments,,1.34.0,,IRanges,Bioconductor,depends,,,
,Bioconductor,GenomicAlignments,,1.34.0,,GenomeInfoDb,Bioconductor,depends,,,
,Bioconductor,GenomicAlignments,,1.34.0,,GenomicRanges,Bioconductor,depends,,,
,Bioconductor,GenomicAlignments,,1.34.0,,SummarizedExperiment,Bioconductor,depends,,,
,Bioconductor,GenomicAlignments,,1.34.0,,Biostrings,Bioconductor,depends,,,
,Bioconductor,GenomicAlignments,,1.34.0,,Rsamtools,Bioconductor,depends,,,
,Bioconductor,GenomicAlignments,,1.34.0,,methods,Bioconductor,imports,,,
,Bioconductor,GenomicAlignments,,1.34.0,,utils,Bioconductor,imports,,,
,Bioconductor,GenomicAlignments,,1.34.0,,stats,Bioconductor,imports,,,
,Bioconductor,GenomicAlignments,,1.34.0,,BiocGenerics,Bioconductor,imports,,,
,Bioconductor,GenomicAlignments,,1.34.0,,S4Vectors,Bioconductor,imports,,,
,Bioconductor,GenomicAlignments,,1.34.0,,IRanges,Bioconductor,imports,,,
,Bioconductor,GenomicAlignments,,1.34.0,,GenomicRanges,Bioconductor,imports,,,
,Bioconductor,GenomicAlignments,,1.34.0,,Biostrings,Bioconductor,imports,,,
,Bioconductor,GenomicAlignments,,1.34.0,,Rsamtools,Bioconductor,imports,,,
,Bioconductor,GenomicAlignments,,1.34.0,,BiocParallel,Bioconductor,imports,,,
,Bioconductor,biomaRt,,2.54.0,,methods,Bioconductor,depends,,,
,Bioconductor,biomaRt,,2.54.0,,utils,Bioconductor,imports,,,
,Bioconductor,biomaRt,,2.54.0,,XML,Bioconductor,imports,,,
,Bioconductor,biomaRt,,2.54.0,,AnnotationDbi,Bioconductor,imports,,,
,Bioconductor,biomaRt,,2.54.0,,progress,Bioconductor,imports,,,
,Bioconductor,biomaRt,,2.54.0,,stringr,Bioconductor,imports,,,
,Bioconductor,biomaRt,,2.54.0,,httr,Bioconductor,imports,,,
,Bioconductor,biomaRt,,2.54.0,,digest,Bioconductor,imports,,,
,Bioconductor,biomaRt,,2.54.0,,BiocFileCache,Bioconductor,imports,,,
,Bioconductor,biomaRt,,2.54.0,,rappdirs,Bioconductor,imports,,,
,Bioconductor,biomaRt,,2.54.0,,xml2,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,R,Bioconductor,depends,,,
,Bioconductor,rtracklayer,,1.58.0,,methods,Bioconductor,depends,,,
,Bioconductor,rtracklayer,,1.58.0,,GenomicRanges,Bioconductor,depends,,,
,Bioconductor,rtracklayer,,1.58.0,,XML,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,BiocGenerics,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,S4Vectors,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,IRanges,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,XVector,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,GenomeInfoDb,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,Biostrings,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,zlibbioc,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,RCurl,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,Rsamtools,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,GenomicAlignments,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,BiocIO,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,tools,Bioconductor,imports,,,
,Bioconductor,rtracklayer,,1.58.0,,restfulr,Bioconductor,imports,,,
,Bioconductor,Rhdf5lib,,1.20.0,,R,Bioconductor,depends,,,
,Bioconductor,graph,,1.76.0,,R,Bioconductor,depends,,,
,Bioconductor,graph,,1.76.0,,methods,Bioconductor,depends,,,
,Bioconductor,graph,,1.76.0,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,graph,,1.76.0,,stats,Bioconductor,imports,,,
,Bioconductor,graph,,1.76.0,,stats4,Bioconductor,imports,,,
,Bioconductor,graph,,1.76.0,,utils,Bioconductor,imports,,,
,Bioconductor,DESeq2,,1.38.3,,S4Vectors,Bioconductor,depends,,,
,Bioconductor,DESeq2,,1.38.3,,IRanges,Bioconductor,depends,,,
,Bioconductor,DESeq2,,1.38.3,,GenomicRanges,Bioconductor,depends,,,
,Bioconductor,DESeq2,,1.38.3,,SummarizedExperiment,Bioconductor,depends,,,
,Bioconductor,DESeq2,,1.38.3,,BiocGenerics,Bioconductor,imports,,,
,Bioconductor,DESeq2,,1.38.3,,Biobase,Bioconductor,imports,,,
,Bioconductor,DESeq2,,1.38.3,,BiocParallel,Bioconductor,imports,,,
,Bioconductor,DESeq2,,1.38.3,,matrixStats,Bioconductor,imports,,,
,Bioconductor,DESeq2,,1.38.3,,methods,Bioconductor,imports,,,
,Bioconductor,DESeq2,,1.38.3,,stats4,Bioconductor,imports,,,
,Bioconductor,DESeq2,,1.38.3,,locfit,Bioconductor,imports,,,
,Bioconductor,DESeq2,,1.38.3,,geneplotter,Bioconductor,imports,,,
,Bioconductor,DESeq2,,1.38.3,,ggplot2,Bioconductor,imports,,,
,Bioconductor,DESeq2,,1.38.3,,Rcpp,Bioconductor,imports,,,
,Bioconductor,geneplotter,,1.76.0,,R,Bioconductor,depends,,,
,Bioconductor,geneplotter,,1.76.0,,methods,Bioconductor,depends,,,
,Bioconductor,geneplotter,,1.76.0,,Biobase,Bioconductor,depends,,,
,Bioconductor,geneplotter,,1.76.0,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,geneplotter,,1.76.0,,lattice,Bioconductor,depends,,,
,Bioconductor,geneplotter,,1.76.0,,annotate,Bioconductor,depends,,,
,Bioconductor,geneplotter,,1.76.0,,AnnotationDbi,Bioconductor,imports,,,
,Bioconductor,geneplotter,,1.76.0,,graphics,Bioconductor,imports,,,
,Bioconductor,geneplotter,,1.76.0,,grDevices,Bioconductor,imports,,,
,Bioconductor,geneplotter,,1.76.0,,grid,Bioconductor,imports,,,
,Bioconductor,geneplotter,,1.76.0,,RColorBrewer,Bioconductor,imports,,,
,Bioconductor,geneplotter,,1.76.0,,stats,Bioconductor,imports,,,
,Bioconductor,geneplotter,,1.76.0,,utils,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,R,Bioconductor,depends,,,
,Bioconductor,GenomicFeatures,,1.50.4,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,GenomicFeatures,,1.50.4,,S4Vectors,Bioconductor,depends,,,
,Bioconductor,GenomicFeatures,,1.50.4,,IRanges,Bioconductor,depends,,,
,Bioconductor,GenomicFeatures,,1.50.4,,GenomeInfoDb,Bioconductor,depends,,,
,Bioconductor,GenomicFeatures,,1.50.4,,GenomicRanges,Bioconductor,depends,,,
,Bioconductor,GenomicFeatures,,1.50.4,,AnnotationDbi,Bioconductor,depends,,,
,Bioconductor,GenomicFeatures,,1.50.4,,methods,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,utils,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,stats,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,tools,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,DBI,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,RSQLite,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,RCurl,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,XVector,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,Biostrings,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,BiocIO,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,rtracklayer,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,biomaRt,Bioconductor,imports,,,
,Bioconductor,GenomicFeatures,,1.50.4,,Biobase,Bioconductor,imports,,,
,Bioconductor,rhdf5,,2.42.0,,R,Bioconductor,depends,,,
,Bioconductor,rhdf5,,2.42.0,,methods,Bioconductor,depends,,,
,Bioconductor,rhdf5,,2.42.0,,Rhdf5lib,Bioconductor,imports,,,
,Bioconductor,rhdf5,,2.42.0,,rhdf5filters,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,R,Bioconductor,depends,,,
,Bioconductor,ggtree,,3.6.2,,ape,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,aplot,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,dplyr,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,ggplot2,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,grid,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,magrittr,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,methods,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,purrr,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,rlang,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,ggfun,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,yulab.utils,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,tidyr,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,tidytree,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,treeio,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,utils,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,scales,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,stats,Bioconductor,imports,,,
,Bioconductor,ggtree,,3.6.2,,cli,Bioconductor,imports,,,
,Bioconductor,treeio,,1.22.0,,R,Bioconductor,depends,,,
,Bioconductor,treeio,,1.22.0,,ape,Bioconductor,imports,,,
,Bioconductor,treeio,,1.22.0,,dplyr,Bioconductor,imports,,,
,Bioconductor,treeio,,1.22.0,,jsonlite,Bioconductor,imports,,,
,Bioconductor,treeio,,1.22.0,,magrittr,Bioconductor,imports,,,
,Bioconductor,treeio,,1.22.0,,methods,Bioconductor,imports,,,
,Bioconductor,treeio,,1.22.0,,rlang,Bioconductor,imports,,,
,Bioconductor,treeio,,1.22.0,,tibble,Bioconductor,imports,,,
,Bioconductor,treeio,,1.22.0,,tidytree,Bioconductor,imports,,,
,Bioconductor,treeio,,1.22.0,,utils,Bioconductor,imports,,,
,Bioconductor,BiocIO,,1.8.0,,R,Bioconductor,depends,,,
,Bioconductor,BiocIO,,1.8.0,,BiocGenerics,Bioconductor,imports,,,
,Bioconductor,BiocIO,,1.8.0,,S4Vectors,Bioconductor,imports,,,
,Bioconductor,BiocIO,,1.8.0,,methods,Bioconductor,imports,,,
,Bioconductor,BiocIO,,1.8.0,,tools,Bioconductor,imports,,,
,Bioconductor,qvalue,,2.30.0,,R,Bioconductor,depends,,,
,Bioconductor,qvalue,,2.30.0,,splines,Bioconductor,imports,,,
,Bioconductor,qvalue,,2.30.0,,ggplot2,Bioconductor,imports,,,
,Bioconductor,qvalue,,2.30.0,,grid,Bioconductor,imports,,,
,Bioconductor,qvalue,,2.30.0,,reshape2,Bioconductor,imports,,,
,Bioconductor,preprocessCore,,1.60.2,,stats,Bioconductor,imports,,,
,Bioconductor,enrichplot,,1.18.3,,R,Bioconductor,depends,,,
,Bioconductor,enrichplot,,1.18.3,,aplot,Bioconductor,imports,,,
,Bioconductor,enrichplot,,1.18.3,,DOSE,Bioconductor,imports,,,
,Bioconductor,enrichplot,,1.18.3,,ggnewscale,Bioconductor,imports,,,
,Bioconductor,enrichplot,,1.18.3,,ggplot2,Bioconductor,imports,,,
,Bioconductor,enrichplot,,1.18.3,,ggraph,Bioconductor,imports,,,
,Bioconductor,enrichplot,,1.18.3,,graphics,Bioconductor,imports,,,
,Bioconductor,enrichplot,,1.18.3,,grid,Bioconductor,imports,,,
,Bioconductor,enrichplot,,1.18.3,,igraph,Bioconductor,imports,,,
,Bioconductor,enrichplot,,1.18.3,,methods,Bioconductor,imports,,,
,Bioconductor,enrichplot,,1.18.3,,plyr,Bioconductor,imports,,,
,Bioconductor,enrichplot,,1.18.3,,purrr,Bioconductor,imports,,,
